episode,steps,reward
1389,989264,15.0
1390,990166,21.0
1391,990813,14.0
1392,991596,13.0
1393,992520,15.0
1394,993549,18.0
1395,994057,8.0
1396,994936,13.0
1397,995515,7.0
1398,995904,6.0
1399,996900,24.0
1400,997395,7.0
1401,998242,16.0
1402,999279,19.0
1403,999965,15.0
1404,1000488,7.0
1405,1001047,7.0
1406,1002003,15.0
1407,1002910,17.0
1408,1003931,21.0
1409,1005008,21.0
1410,1005641,12.0
1411,1006619,15.0
1412,1007413,18.0
1413,1007942,9.0
1414,1008859,22.0
1415,1009580,10.0
1416,1010221,11.0
1417,1010916,11.0
1418,1011687,13.0
1419,1012152,8.0
1420,1012793,9.0
1421,1013756,14.0
1422,1014394,12.0
1423,1014842,7.0
1424,1016061,17.0
1425,1016820,11.0
1426,1017973,19.0
1427,1018669,13.0
1428,1019469,14.0
1429,1020636,19.0
1430,1021027,6.0
1431,1021717,13.0
1432,1022726,21.0
1433,1023427,17.0
1434,1024087,13.0
1435,1024615,11.0
1436,1025305,15.0
1437,1026632,30.0
1438,1027371,18.0
1439,1027965,9.0
1440,1028604,7.0
1441,1029627,14.0
1442,1030359,16.0
1443,1030991,13.0
1444,1031777,16.0
1445,1032343,12.0
1446,1032957,14.0
1447,1033636,12.0
1448,1034722,17.0
1449,1035482,16.0
1450,1036302,13.0
1451,1037333,19.0
1452,1038245,18.0
1453,1038613,8.0
1454,1039204,7.0
1455,1040257,18.0
1456,1040930,15.0
1457,1041755,20.0
1458,1042280,7.0
1459,1043232,16.0
1460,1044319,19.0
1461,1045218,26.0
1462,1046132,15.0
1463,1047169,19.0
1464,1048196,18.0
1465,1049001,14.0
1466,1049366,7.0
1467,1049828,8.0
1468,1050519,14.0
1469,1051268,17.0
1470,1052152,24.0
1471,1053434,24.0
1472,1053817,4.0
1473,1054697,15.0
1474,1055561,20.0
1475,1056247,16.0
1476,1056699,8.0
1477,1057508,15.0
1478,1058548,21.0
1479,1059085,11.0
1480,1059777,15.0
1481,1060911,20.0
1482,1061897,22.0
1483,1062573,14.0
1484,1063395,14.0
1485,1064429,19.0
